
verbatimScientificName,8712f1254ffffff,8712c0351ffffff,8712c1016ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712c306effffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c1da0ffffff,8712c0adbffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1194ffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff
Ovis canadensis,0.0,0.0,0.019230769230769232,0.06666666666666667,0.011627906976744186,0.0,0.058823529411764705,0.03225806451612903,0.04,0.01639344262295082,0.03571428571428571,0.05555555555555555,0.0,0.0,0.07692307692307693,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.1875,0.15789473684210525,0.0,0.07407407407407407,0.05263157894736842,0.08888888888888889,0.05128205128205128,0.0,0.022222222222222223,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.1,0.027777777777777776,0.0,0.1111111111111111,0.045454545454545456,0.17647058823529413
Ovis canadensis canadensis,0.0,0.0,0.019230769230769232,0.06666666666666667,0.0,0.0,0.058823529411764705,0.0,0.0,0.03278688524590164,0.07142857142857142,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Pekania pennanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peromyscus sonoriensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puma concolor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puma concolor couguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangifer tarandus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangifer tarandus caribou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sciurus carolinensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorex cinereus,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamiasciurus hudsonicus,0.0,0.05405405405405406,0.15384615384615385,0.13333333333333333,0.313953488372093,0.38461538461538464,0.17647058823529413,0.1935483870967742,0.08,0.14754098360655737,0.42857142857142855,0.1111111111111111,0.16666666666666666,0.23076923076923078,0.15384615384615385,0.6,0.2857142857142857,0.15789473684210525,0.0,0.1,0.0,0.3333333333333333,0.5,0.10526315789473684,0.21052631578947367,0.037037037037037035,0.0,0.06666666666666667,0.15384615384615385,0.0,0.24444444444444444,0.0,0.36363636363636365,0.3,0.0967741935483871,0.09375,0.2,0.05,0.05555555555555555,0.16,0.1111111111111111,0.0,0.0
Taxidea taxus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taxidea taxus jeffersonii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomomys talpoides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urocitellus columbianus,0.17391304347826086,0.0,0.17307692307692307,0.3333333333333333,0.16279069767441862,0.0,0.058823529411764705,0.16129032258064516,0.16,0.13114754098360656,0.0,0.05555555555555555,0.25,0.07692307692307693,0.8461538461538461,0.8,0.0,0.47368421052631576,0.5909090909090909,0.4,0.35714285714285715,0.06666666666666667,0.0,0.42105263157894735,0.39473684210526316,0.07407407407407407,0.05263157894736842,0.13333333333333333,0.2564102564102564,0.0,0.2,0.05263157894736842,0.0,0.06,0.25806451612903225,0.15625,0.06666666666666667,0.55,0.19444444444444445,0.08,0.07407407407407407,0.13636363636363635,0.4117647058823529
Urocitellus columbianus columbianus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urocitellus richardsonii,0.0,0.0,0.038461538461538464,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ursus americanus,0.043478260869565216,0.0,0.038461538461538464,0.0,0.05813953488372093,0.038461538461538464,0.058823529411764705,0.03225806451612903,0.24,0.11475409836065574,0.17857142857142858,0.3333333333333333,0.08333333333333333,0.15384615384615385,0.0,0.2,0.0,0.47368421052631576,0.09090909090909091,0.0,0.07142857142857142,0.0,0.0625,0.05263157894736842,0.0,0.07407407407407407,0.05263157894736842,0.022222222222222223,0.05128205128205128,0.16,0.06666666666666667,0.0,0.09090909090909091,0.04,0.12903225806451613,0.0,0.1,0.0,0.05555555555555555,0.08,0.0,0.0,0.058823529411764705
Ursus americanus americanus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ursus americanus cinnamomum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ursus arctos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Ursus arctos horribilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.045454545454545456,0.0
Vulpes vulpes,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.04,0.03278688524590164,0.07142857142857142,0.0,0.041666666666666664,0.0,0.07692307692307693,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.022222222222222223,0.07692307692307693,0.04,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.08,0.0,0.0,0.23529411764705882
Zapus princeps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
