verbatimScientificName,8712f1254ffffff,8712c1425ffffff,8712c10a0ffffff,8712c3850ffffff,8712c0700ffffff,8712c0351ffffff,8712c1016ffffff,8712c1013ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1addffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712c030cffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712f1343ffffff,8712c306effffff,8712c1c5affffff,8712c150bffffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c0068ffffff,8712c3ad6ffffff,8712c1da0ffffff,8712c0241ffffff,8712c0adbffffff,8712c0374ffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1c8cffffff,8712c1194ffffff,8712c1c59ffffff,8712c4606ffffff,8712c0b94ffffff,8712c12ebffffff,8712c3aaeffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712e2711ffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712c0319ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff,8712c4d99ffffff,8712c1c58ffffff
Canis lupus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.014492753623188406,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.01818181818181818,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
Canis lupus occidentalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Castor canadensis,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.012987012987012988,0.0,0.0,0.03125,0.0,0.029411764705882353,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.041666666666666664,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.18181818181818182,0.03571428571428571,0.0,0.0,0.46153846153846156,0.04,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
Cervus canadensis,0.02857142857142857,0.0,0.0,0.0,0.0,0.019230769230769232,0.4675324675324675,0.7142857142857143,0.47619047619047616,0.609375,0.2916666666666667,0.058823529411764705,0.5217391304347826,0.5714285714285714,0.0,0.38461538461538464,0.3595505617977528,0.16666666666666666,0.45454545454545453,0.2972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.06666666666666667,0.0,0.39473684210526316,0.0,0.14634146341463414,0.0,0.0,0.0,0.7777777777777778,0.20833333333333334,0.24324324324324326,0.03225806451612903,0.29411764705882354,0.6153846153846154,0.43478260869565216,0.2037037037037037,0.15384615384615385,0.05555555555555555,0.4264705882352941,0.045454545454545456,0.0,0.0,0.0,0.2727272727272727,0.0,0.029411764705882353,0.0,0.0,0.2,0.0,0.4375,0.36363636363636365,0.0,0.43636363636363634,0.06666666666666667,0.09302325581395349,0.02857142857142857,0.3333333333333333,0.0,0.09090909090909091
Cervus canadensis canadensis,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.047619047619047616,0.0,0.09375,0.3333333333333333,0.2647058823529412,0.17391304347826086,0.04081632653061224,0.0,0.358974358974359,0.5842696629213483,0.08333333333333333,0.18181818181818182,0.5945945945945946,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.041666666666666664,0.0,0.0,0.38235294117647056,0.23076923076923078,0.10144927536231885,0.4444444444444444,0.48717948717948717,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6041666666666666,0.12121212121212122,0.0,0.6545454545454545,0.022222222222222223,0.0,0.02857142857142857,0.03333333333333333,0.0,0.045454545454545456
Clethrionomys gapperi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eptesicus fuscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equus caballus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erethizon dorsatum,0.0,0.09090909090909091,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felis catus,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glaucomys sabrinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
